Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
Millard's rat,Dacnomys millardi,332664,Mammals,1,30.3,0.002079002,0.616868835,-9.587014983,4%-5%,-3.890881992,30.3859405
target rat,Stochomys longicaudatus,34856,Mammals,1,30.3,0.002079002,0.701903382,-9.587014983,4%-5%,-3.762149658,30.3859405
,Harfordia macroptera,1214392,Embryophytes,1,29.8,0.002053388,-,-9.582772517,4%-5%,-,-
,Dedeckera eurekensis,429190,Embryophytes,1,29.8,0.002053388,-,-9.582772517,4%-5%,-,-
,Gilmania luteola,429224,Embryophytes,1,29.8,0.002053388,-,-9.582772517,4%-5%,-,-
,Pterostegia drymarioides,655510,Embryophytes,1,29.8,0.002053388,-,-9.582772517,4%-5%,-,-
,Wimmerella pygmaea,378898,Embryophytes,1,37,0.00255102,-,-9.582179752,4%-5%,-,-
,Gyrostemonaceae,26279,Embryophytes,9,50.92666667,0.003515625,-,-9.58092465,4%-5%,-,-
,Eriocottidae,753496,Arthropods,8,179.7,0.01242236,-,-9.579545978,4%-5%,-,-
,Rapateaceae,14081,Embryophytes,33,86.7,0.005998909,-,-9.578631495,4%-5%,-,-
,Douglasiidae,198967,Arthropods,8,179.4,0.01242236,-,-9.577875134,4%-5%,-,-
,Symphorematoideae,426102,Embryophytes,3,34.2,0.002371542,-,-9.576440757,4%-5%,-,-
Caecilians,Gymnophiona,8445,Amphbians,153,323.1,0.022556391,-,-9.569698712,4%-5%,-,-
,Neozavrelia,364945,Arthropods,2,84.4,0.005899705,-,-9.568420328,4%-5%,-,-
,Microdrosophila,1262508,Arthropods,3,65.2,0.00456621,-,-9.566531199,4%-5%,-,-
,Deinopoidea,450947,Arthropods,25,198,0.013881177,-,-9.565488551,4%-5%,-,-
,Acidonia microcarpa,524968,Embryophytes,1,89.6,0.006289308,-,-9.564259522,4%-5%,-,-
,Bellendena montana,83702,Embryophytes,1,89.6,0.006289308,-,-9.564259522,4%-5%,-,-
,Toronia toru,83747,Embryophytes,1,89.6,0.006289308,-,-9.564259522,4%-5%,-,-
,Typhaceae,4731,Embryophytes,38,98,0.006907835,-,-9.560066492,4%-5%,-,-
,Bruniales,703243,Embryophytes,67,83.4,0.005880804,-,-9.559710101,4%-5%,-,-
,Lancetes,107897,Arthropods,6,91,0.006417112,-,-9.559646567,4%-5%,-,-
,Palaeoptera,33339,Arthropods,3903,413.1,0.029143612,-,-9.559209214,4%-5%,-,-
,Lopescladius,611361,Arthropods,2,176,0.01242236,-,-9.558741179,4%-5%,-,-
,Rehmannia,99299,Embryophytes,9,52.7,0.003728252,-,-9.55643128,4%-5%,-,-
,Trachelium caeruleum,28494,Embryophytes,1,36,0.00255102,-,-9.554780778,4%-5%,-,-
,Physoplexis comosa,239466,Embryophytes,1,36,0.00255102,-,-9.554780778,4%-5%,-,-
,Berenice arguta,519275,Embryophytes,1,36,0.00255102,-,-9.554780778,4%-5%,-,-
sack-bearer moths,Mimallonidae,82613,Arthropods,68,119.35,0.008461921,-,-9.554239374,4%-5%,-,-
,Cumacea,27412,Arthropods,46,340,0.024146982,-,-9.552541509,4%-5%,-,-
,Ephippiformes,1489930,Actinopterians,11,84.1,0.005988024,-,-9.550000379,4%-5%,-,-
,Dulichieae,986146,Embryophytes,3,42,0.002991027,-,-9.549808118,4%-5%,-,-
,Chalceus,42489,Actinopterians,4,117,0.008333333,-,-9.549665678,4%-5%,-,-
,Batocarpus,241863,Embryophytes,2,65,0.004640371,-,-9.547348179,4%-5%,-,-
,Clarisia,241873,Embryophytes,2,65,0.004640371,-,-9.547348179,4%-5%,-,-
,Tonnoirocladius commensalis,903474,Arthropods,1,86.7,0.00621118,-,-9.543858249,4%-5%,-,-
,Stimpsonia chamaedryoides,191057,Embryophytes,1,45.3,0.003246753,-,-9.543406815,4%-5%,-,-
,Coris monspeliensis,59972,Embryophytes,1,45.3,0.003246753,-,-9.543406815,4%-5%,-,-
,Gammaracanthus,176904,Arthropods,4,126,0.009049774,-,-9.541297428,4%-5%,-,-
,Perochirus ateles,1127070,Lepidosaurians,1,95.9,0.006896552,-,-9.540039724,4%-5%,-,-
,Oleacinoidea,145443,Metazoans,8,129.9,0.009378664,-,-9.536082929,4%-5%,-,-
false scorpions,Pseudoscorpiones,51799,Arthropods,215,411.0333333,0.029753667,-,-9.533477198,4%-5%,-,-
,Isophysis tasmanica,49752,Embryophytes,1,65.1,0.004716981,-,-9.532510824,4%-5%,-,-
,Furipterus horrens,148082,Mammals,1,13.6,0.000992063,0.836264465,-9.525793241,4%-5%,-2.787694563,34.04206126
,Codonorchis,152855,Embryophytes,3,47.6,0.003476246,-,-9.524635164,4%-5%,-,-
,Cephaloon,433160,Arthropods,6,105.9,0.007741935,-,-9.523598813,4%-5%,-,-
fungus weevils,Anthribidae,110015,Arthropods,40,153,0.011210762,-,-9.521318961,4%-5%,-,-
,Prionodon densus,94465,Embryophytes,1,50.5,0.003703704,-,-9.520395295,4%-5%,-,-
,Syncarpia,178136,Embryophytes,2,60.5,0.004444444,-,-9.518743767,4%-5%,-,-
,Menyanthaceae,24579,Embryophytes,55,75.8,0.005570184,-,-9.518425426,4%-5%,-,-
,Morionini,60778,Arthropods,2,75.8,0.005602241,-,-9.512686894,4%-5%,-,-
,Nevrorthidae,279498,Arthropods,3,231.8,0.017142857,-,-9.512048616,4%-5%,-,-
,Hanabusaya asiatica,103032,Embryophytes,1,34.4,0.00255102,-,-9.509318404,4%-5%,-,-
,Spilopyrinae,284345,Arthropods,8,161.2,0.011976048,-,-9.507492462,4%-5%,-,-
,Kinnaridae,390102,Arthropods,5,266.3,0.019920319,-,-9.50063852,4%-5%,-,-
,Beryciformes,8277,Actinopterians,108,129.5,0.009698276,-,-9.499488037,4%-5%,-,-
,Omethidae,333885,Arthropods,12,187.86,0.014101058,-,-9.497202483,4%-5%,-,-
,Zippelia begoniifolia,126646,Embryophytes,1,30.9,0.002325581,-,-9.494541393,4%-5%,-,-
,Manis,9973,Mammals,15,84.9,0.006404782,0.907405412,-9.492184436,4%-5%,-4.531606488,25.73494363
,Aenictus,232111,Arthropods,15,97.7,0.007378259,-,-9.491119172,4%-5%,-,-
,Pandion haliaetus,56262,Aves,1,61.0162722,0.004608295,-,-9.491037939,4%-5%,-,61.1078502
squirrel-toothed rat,Anisomys imitator,332661,Mammals,1,27.5,0.002079002,0.84739234,-9.490053275,4%-5%,-3.477327078,27.66161618
Earless New Guinea water rat,Crossomys moncktoni,442570,Mammals,1,27.5,0.002079002,0.788451523,-9.490053275,4%-5%,-3.549237013,27.66161618
New Guinea waterside rat,Parahydromys asper,442592,Mammals,1,27.5,0.002079002,0.693996414,-9.490053275,4%-5%,-3.676483272,27.66161618
,Xerotia arabica,1081594,Embryophytes,1,39.2,0.002967359,-,-9.488759677,4%-5%,-,-
,Haya obovata,431013,Embryophytes,1,39.2,0.002967359,-,-9.488759677,4%-5%,-,-
,Greenwoodochromis,286575,Actinopterians,2,27.47619048,0.002089864,-,-9.48397604,4%-5%,-,-
false vampire bats,Megadermatidae,9409,Mammals,5,65.4,0.00498008,0.836305577,-9.482831646,4%-5%,-4.353346272,31.72723468
,Cedronella canariensis,260595,Embryophytes,1,46.5,0.003546099,-,-9.481359384,4%-5%,-,-
,Horminum pyrenaicum,39322,Embryophytes,1,46.5,0.003546099,-,-9.481359384,4%-5%,-,-
,Asteliaceae,51510,Embryophytes,38,68.8,0.005250069,-,-9.480717789,4%-5%,-,-
,Biserrula pelecinus,47093,Embryophytes,1,19.9,0.00152439,-,-9.476880521,4%-5%,-,-
,Macrohectopus branickii,65455,Arthropods,1,25.2,0.001930502,-,-9.476819237,4%-5%,-,-
,Necydalis,294796,Arthropods,4,167.6,0.012861736,-,-9.475078739,4%-5%,-,-
,Poulsenia armata,241910,Embryophytes,1,30.2,0.002320186,-,-9.473950014,4%-5%,-,-
,Pseudochironomini,72531,Arthropods,7,138,0.010606061,-,-9.473583371,4%-5%,-,-
,Carnarvonia araliifolia,54933,Embryophytes,1,81.7,0.006289308,-,-9.471958204,4%-5%,-,-
,Noctilio,94958,Mammals,4,51.7,0.0039801,-,-9.471906241,4%-5%,-,27.83292418
,Mindarus,13152,Arthropods,10,137,0.010559662,-,-9.470694926,4%-5%,-,-
,Hexactinellida,60882,Metazoans,79,523,0.040326697,-,-9.47032303,4%-5%,-,-
,Tetratomidae,219429,Arthropods,11,184,0.014193548,-,-9.469903514,4%-5%,-,-
,Gmelina costata,1522939,Arthropods,1,29.3,0.002262443,-,-9.468897398,4%-5%,-,-
sablefishes,Anoplopomatidae,30988,Actinopterians,2,59.4,0.004587156,-,-9.468789289,4%-5%,-,-
,Tanylypa,1272102,Arthropods,3,119.45,0.009230769,-,-9.468110767,4%-5%,-,-
,Eurhadinoceraea,1385244,Arthropods,3,97.2,0.007518797,-,-9.46711984,4%-5%,-,-
,Trichoneuron microlepioides,1776209,Embryophytes,1,60.67333333,0.004694836,-,-9.466796448,4%-5%,-,-
,Lithostegia foeniculacea,334238,Embryophytes,1,60.67333333,0.004694836,-,-9.466796448,4%-5%,-,-
,Oenotrichia maxima,1841587,Embryophytes,1,60.67333333,0.004694836,-,-9.466796448,4%-5%,-,-
,Ataxipteris sinii,65705,Embryophytes,1,60.67333333,0.004694836,-,-9.466796448,4%-5%,-,-
,Brylkinieae,1648040,Embryophytes,2,24.725,0.001913876,-,-9.466439861,4%-5%,-,-
,Enkianthus,13507,Embryophytes,6,82.6,0.006403415,-,-9.464933494,4%-5%,-,-
,Elopomorpha,32521,Actinopterians,435,274.4,0.021310994,-,-9.463119107,4%-5%,-,-
,Anthiini,170260,Arthropods,2,72.1,0.005602241,-,-9.462642646,4%-5%,-,-
,Bryoxiphium,98453,Embryophytes,3,80.6,0.006263048,-,-9.462586958,4%-5%,-,-
capybara,Hydrochoerus hydrochaeris,10149,Mammals,1,49.4,0.003846154,-,-9.460632055,4%-5%,-,49.59096273
pacarana,Dinomys branickii,108858,Mammals,1,49.4,0.003846154,1.085811704,-9.460632055,4%-5%,-3.814086669,49.59096273
dassie-rat,Petromus typicus,10183,Mammals,1,49.4,0.003846154,0.912483244,-9.460632055,4%-5%,-3.987329799,49.59096273
Neblina frog,Adelastes hylonomos,1658277,Amphbians,1,69.64,0.005434783,-,-9.458274873,4%-5%,-,-
giant scales,Margarodidae,83869,Arthropods,7,250.9,0.019607843,-,-9.456880086,4%-5%,-,-
,Eriphioidea,652082,Arthropods,6,128.8090909,0.010084034,-,-9.455133329,4%-5%,-,-
,Phyllaphidinae,527854,Arthropods,5,89.9,0.007042254,-,-9.454524999,4%-5%,-,-
,Diplarrena latifolia,93020,Embryophytes,1,60,0.004716981,-,-9.450930837,4%-5%,-,-
,Rhytidium rugosum,100464,Embryophytes,1,47.1,0.003703704,-,-9.45069496,4%-5%,-,-
plains-wanderer,Pedionomus torquatus,227192,Aves,1,42.04167319,0.003311258,-,-9.449088362,4%-5%,-,44.28487692
,Patellogastropoda,69675,Metazoans,248,449,0.03539823,-,-9.448116345,4%-5%,-,-
,Manicaria saccifera,115496,Embryophytes,1,58.5,0.00462963,-,-9.444305162,4%-5%,-,-
,Bletiinae,158399,Embryophytes,39,776.75,0.061514196,-,-9.443605857,4%-5%,-,-
,Kerrieae,721811,Embryophytes,3,82.1,0.006507592,-,-9.442723771,4%-5%,-,-
,Phrygiomurex sculptilis,1078563,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Trachypollia lugubris,1078571,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Tribulus planospira,1078587,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Bedevina birileffi,1078577,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Xymenopsis muriciformis,1183097,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Xymene plebeius,1675656,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Ocenebra erinacea,146274,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Pygmaepterys pointieri,1504874,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Comptella curta,1675643,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Xymenella pusilla,1675658,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
purple dye murex,Bolinus brandaris,179646,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Hexaplex trunculus,179648,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
Asian drill,Ocinebrellus inornatus,213425,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Eupleura nitida,508935,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Muricanthus radix,604260,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Attiliosa nodulifera,708472,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Haustellum haustellum,708479,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Pterymarchia martinetana,708483,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Homalocantha pele,708490,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Xanthochorus cassidiformis,708495,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Leptotrophon surprisensis,708497,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Monstrotyphis imperialis,743025,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Bedeva paivae,743488,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Nipponotrophon echinus,743490,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Chorus giganteus,858327,Metazoans,1,55.09310345,0.004385965,-,-9.438370173,4%-5%,-,-
,Nothorites megacarpus,544779,Embryophytes,1,79,0.006289308,-,-9.438352055,4%-5%,-,-
,Verongimorpha,1779148,Metazoans,84,680,0.054158607,-,-9.437931163,4%-5%,-,-
,Mazus,113204,Embryophytes,12,62.4,0.004971002,-,-9.437699027,4%-5%,-,-
,Plathymenia reticulata,148722,Embryophytes,1,50.7,0.004048583,-,-9.435314247,4%-5%,-,-
,Franklandia fucifolia,83714,Embryophytes,1,78.7,0.006289308,-,-9.434547358,4%-5%,-,-
,Callipodida,118449,Arthropods,4,219.6,0.017621145,-,-9.430463366,4%-5%,-,-
,Polyzoniida,118485,Arthropods,4,219.6,0.017621145,-,-9.430463366,4%-5%,-,-
,Scatopsoidea,1588183,Arthropods,10,244,0.019646365,-,-9.427031149,4%-5%,-,-
,Hippopotamidae,9831,Mammals,2,59.5,0.004796163,0.921808914,-9.425915354,4%-5%,-4.16220414,37.18159101
,Cyrtaucheniidae,32265,Arthropods,12,124,0.01,-,-9.425451752,5%-6%,-,-
,Hippobroma longiflora,368676,Embryophytes,1,31.6,0.00255102,-,-9.42441896,5%-6%,-,-
Silver-haired bat,Lasionycteris noctivagans,27667,Mammals,1,27.8,0.002247191,0.794185338,-9.423110303,5%-6%,-3.552648883,27.96873384
evening bat,Nycticeius humeralis,27670,Mammals,1,27.8,0.002247191,0.840531213,-9.423110303,5%-6%,-3.496087242,27.96873384
Great evening bat,Ia io,360967,Mammals,1,27.8,0.002247191,0.761769144,-9.423110303,5%-6%,-3.59420213,27.96873384
Disk-footed bat,Eudiscopus denticulus,633651,Mammals,1,27.8,0.002247191,0.885193397,-9.423110303,5%-6%,-3.444449724,27.96873384
Rohu's bat,Philetor brachypterus,867864,Mammals,1,27.8,0.002247191,0.77116015,-9.423110303,5%-6%,-3.581985429,27.96873384
,Narudasia festiva,221572,Lepidosaurians,1,85.1,0.006896552,-,-9.420560778,5%-6%,-,-
,Parmacelloidea,1461387,Metazoans,9,129.9,0.010550996,-,-9.418299894,5%-6%,-,-
,Yponomeutoidea,37582,Arthropods,351,158,0.012901092,-,-9.413038382,5%-6%,-,-
,Legenere limosa,101651,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Howellia aquatilis,101777,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Zeugandra iranica,1282959,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Echinocodon lobophyllus,1392615,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Pankycodon purpureus,1392602,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Heterotoma lobelioides,252768,Embryophytes,1,31.0704918,0.00255102,-,-9.407520392,5%-6%,-,-
,Eucarpha deplanchei,524977,Embryophytes,1,76.6,0.006289308,-,-9.407501279,5%-6%,-,-
,Opisthiolepis heterophylla,83731,Embryophytes,1,76.6,0.006289308,-,-9.407501279,5%-6%,-,-
,Lynceus,77665,Arthropods,15,250.5,0.020661157,-,-9.402958734,5%-6%,-,-
,Neurodium lanceolatum,253770,Embryophytes,1,40.4,0.003333333,-,-9.40261226,5%-6%,-,-
,Salviniales,74353,Embryophytes,76,236,0.019472201,-,-9.402599232,5%-6%,-,-
,Pholadomyoida,65387,Metazoans,62,464,0.038461538,-,-9.39798109,5%-6%,-,-
,Drosophila busckii,30019,Arthropods,1,44.4,0.003690037,-,-9.39535829,5%-6%,-,-
African groove-toothed rat,Mylomys dybowskii,121581,Mammals,1,25,0.002079002,0.561581539,-9.394743095,5%-6%,-3.792178911,25.96927384
,Sarothrogammarus,1522954,Arthropods,2,54.08,0.004524887,-,-9.388627133,5%-6%,-,-
flat bark beetles,Cucujidae,41110,Arthropods,9,187.0222222,0.015679443,-,-9.386632264,5%-6%,-,-
,Azorina vidalii,239395,Embryophytes,1,30.4,0.00255102,-,-9.385704448,5%-6%,-,-
,Nesocodon mauritianus,519296,Embryophytes,1,30.4,0.00255102,-,-9.385704448,5%-6%,-,-
mouse-like hamsters,Calomyscus,10132,Mammals,6,49.9,0.004189944,0.829481709,-9.385088881,5%-6%,-4.091936658,15.69867815
Namaqua day gecko,Rhoptropella ocellata,232317,Lepidosaurians,1,82,0.006896552,-,-9.38345299,5%-6%,-,-
,Lygistorrhinidae,560805,Arthropods,8,164.5,0.01384083,-,-9.383042897,5%-6%,-,-
,Perimylopidae,219434,Arthropods,12,184,0.015483871,-,-9.382892137,5%-6%,-,-
,Agorius,1560413,Arthropods,2,36.55714286,0.003076923,-,-9.382701776,5%-6%,-,-
,Cometes abyssinica,1423374,Embryophytes,1,35.2,0.002967359,-,-9.381129013,5%-6%,-,-
,Stipulicida setacea,1620066,Embryophytes,1,35.2,0.002967359,-,-9.381129013,5%-6%,-,-
,Pollichia campestris,697016,Embryophytes,1,35.2,0.002967359,-,-9.381129013,5%-6%,-,-
,Rhynchaenus,202175,Arthropods,6,73.68666667,0.006217617,-,-9.380190501,5%-6%,-,-
,Fatoua,66389,Embryophytes,3,82.4,0.006960557,-,-9.379081238,5%-6%,-,-
,Kolekanos plumicaudus,1207997,Lepidosaurians,1,81.44358974,0.006896552,-,-9.376644373,5%-6%,-,-
,Gryllacrididae,41433,Arthropods,10,159.1,0.013477089,-,-9.376297086,5%-6%,-,-
,Posidonia,55487,Embryophytes,9,85.2,0.007223114,-,-9.375470556,5%-6%,-,-
,Pseudohydrosme gabunensis,487105,Embryophytes,1,79.1,0.006711409,-,-9.374659181,5%-6%,-,-
,Cephalaralia cephalobotrys,127414,Embryophytes,1,69.1,0.005882353,-,-9.371353168,5%-6%,-,-
,Motherwellia haplosciadea,225227,Embryophytes,1,69.1,0.005882353,-,-9.371353168,5%-6%,-,-
Laotian rock rat,Laonastes aenigmamus,340180,Mammals,1,45.04117647,0.003846154,-,-9.368258735,5%-6%,-,-
,Aulopiformes,68510,Actinopterians,159,156.7,0.013418854,-,-9.365427702,5%-6%,-,-
,Calycopeplus,212825,Embryophytes,3,30.3,0.002597403,-,-9.364391047,5%-6%,-,-
,Dromiacea,6782,Arthropods,33,196,0.016802444,-,-9.364345587,5%-6%,-,-
,Oreophysa microphylla,416564,Embryophytes,1,17.78181818,0.00152439,-,-9.364337274,5%-6%,-,-
,Smirnowia turkestana,47103,Embryophytes,1,17.78181818,0.00152439,-,-9.364337274,5%-6%,-,-
,Barnebyella calycina,754858,Embryophytes,1,17.78181818,0.00152439,-,-9.364337274,5%-6%,-,-
,Montigena novae-zelandiae,99016,Embryophytes,1,17.78181818,0.00152439,-,-9.364337274,5%-6%,-,-
,Martyniaceae,41868,Embryophytes,13,62.8,0.005385253,-,-9.364046118,5%-6%,-,-
,Palmerella debilis,252779,Embryophytes,1,29.7,0.00255102,-,-9.362408886,5%-6%,-,-
,Diastatea micrantha,368674,Embryophytes,1,29.7,0.00255102,-,-9.362408886,5%-6%,-,-
,Dicamptodon,43476,Amphbians,4,95.6,0.008213552,-,-9.362142582,5%-6%,-,-
,Paramythiidae,254572,Aves,2,22.67740327,0.00195122,0.919699592,-9.360669689,5%-6%,-3.202957835,19.78714115
,Montrichardia arborescens,28476,Embryophytes,1,77.9,0.006711409,-,-9.359372259,5%-6%,-,-
,Beaupreopsis paniculata,524970,Embryophytes,1,72.8,0.006289308,-,-9.356620157,5%-6%,-,-
,Cenarrhenes nitida,83708,Embryophytes,1,72.8,0.006289308,-,-9.356620157,5%-6%,-,-
,Migidae,230227,Arthropods,14,135,0.011666667,-,-9.356294285,5%-6%,-,-
,Agonoxeninae,347821,Arthropods,19,104.775,0.009056244,-,-9.356116004,5%-6%,-,-
,Tetrapleura tetraptera,148728,Embryophytes,1,46.6,0.004048583,-,-9.350988878,5%-6%,-,-
,Psittaconirmus,1195963,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Buerelius,1485572,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Formicaricola,160124,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Otidoecus,160169,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Trogoninirmus,160203,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Osculotes,163374,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Passonomedea,163377,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Formicaphagus,178320,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Rhynonirmus,179173,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Philoceanus,185412,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Cuculoecus,209290,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Pelmatocerandra,215597,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Theresiella,551663,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Kodocephalon,915419,Arthropods,2,74.21538462,0.006451613,-,-9.350396585,5%-6%,-,-
,Agamura persica,401556,Lepidosaurians,1,79.3,0.006896552,-,-9.349971871,5%-6%,-,-
,Heteropneustes,93620,Actinopterians,2,116,0.01010101,-,-9.348710041,5%-6%,-,-
,Erophaca baetica,462207,Embryophytes,1,17.5,0.00152439,-,-9.34836167,5%-6%,-,-
,Kalopanax septemlobus,228393,Embryophytes,1,67.3,0.005882353,-,-9.344958674,5%-6%,-,-
,Synendotendipes,611390,Arthropods,2,142.1,0.01242236,-,-9.34478822,5%-6%,-,-
,Limeum,98042,Embryophytes,8,55,0.004813478,-,-9.343668619,5%-6%,-,-
,Eurylaimidae,81928,Aves,13,27.59182574,0.002421308,0.721661347,-9.340967153,5%-6%,-3.640369289,14.08507457
,Afrogecko porphyreus,221551,Lepidosaurians,1,78.5,0.006896552,-,-9.339832367,5%-6%,-,-
,Matoatoa brevipes,454306,Lepidosaurians,1,78.5,0.006896552,-,-9.339832367,5%-6%,-,-
,Chalepoxenus,27495,Arthropods,4,76.64,0.006734007,-,-9.339704092,5%-6%,-,-
brahmin moths,Brahmaeidae,119237,Arthropods,9,79.66666667,0.007014809,-,-9.337583051,5%-6%,-,-
,Catalepidia heyana,524974,Embryophytes,1,71.4,0.006289308,-,-9.337202072,5%-6%,-,-
,Sleumerodendron austrocaledonicum,524991,Embryophytes,1,71.4,0.006289308,-,-9.337202072,5%-6%,-,-
,Brabejum stellatifolium,54931,Embryophytes,1,71.4,0.006289308,-,-9.337202072,5%-6%,-,-
,Musgravea heterophylla,83727,Embryophytes,1,71.3,0.006289308,-,-9.33580053,5%-6%,-,-
,Gundelia,165082,Embryophytes,3,27.3,0.002409639,-,-9.335165222,5%-6%,-,-
,Brevianthaceae,334180,Embryophytes,3,197.6,0.01744186,-,-9.335126973,5%-6%,-,-
,Ebenavia inunguis,357320,Lepidosaurians,1,78,0.006896552,-,-9.333442569,5%-6%,-,-
,Finschia chloroxantha,524979,Embryophytes,1,70.8,0.006289308,-,-9.328763203,5%-6%,-,-
,Hypodematiaceae,1469498,Embryophytes,7,90.2,0.008018328,-,-9.328054834,5%-6%,-,-
,Sredinskya grandis,175109,Embryophytes,1,36.5,0.003246753,-,-9.327412044,5%-6%,-,-
,Unduloribatoidea,503599,Arthropods,2,198.9,0.017699115,-,-9.327042824,5%-6%,-,-
,Liodidae,66587,Arthropods,2,198.9,0.017699115,-,-9.327042824,5%-6%,-,-
,Ctenoluciidae,27690,Actinopterians,5,117,0.010416667,-,-9.326522126,5%-6%,-,-
,Stylodactylidae,342635,Arthropods,12,292.2,0.026030369,-,-9.325929893,5%-6%,-,-
,Hypodaphnis zenkeri,121077,Embryophytes,1,102,0.009090909,-,-9.325453179,5%-6%,-,-
,Oreocallis mucronata,341017,Embryophytes,1,70.5,0.006289308,-,-9.324516912,5%-6%,-,-
,Embothrium coccineum,54937,Embryophytes,1,70.5,0.006289308,-,-9.324516912,5%-6%,-,-
,Acroglochin chenopodioides,240007,Embryophytes,1,47.7,0.004255319,-,-9.324516912,5%-6%,-,-
ensign scales,Ortheziidae,249435,Arthropods,8,250.9,0.022408964,-,-9.323348693,5%-6%,-,-
,Neorites kevedianus,83729,Embryophytes,1,69.8,0.006289308,-,-9.314538212,5%-6%,-,-
,Strophocheiloidea,145564,Metazoans,10,129.9,0.011723329,-,-9.312939378,5%-6%,-,-
chowchillas,Orthonyx,38396,Aves,3,49.30555779,0.004457652,0.832507852,-9.31116985,5%-6%,-4.076009232,31.06100864
,Lastarriaea,1214368,Embryophytes,2,45.4,0.004106776,-,-9.310629048,5%-6%,-,-
,Mucronea,1214369,Embryophytes,2,45.4,0.004106776,-,-9.310629048,5%-6%,-,-
,Podopterus,559223,Embryophytes,2,45.4,0.004106776,-,-9.310629048,5%-6%,-,-
